timestamp,Active_Energy_Delivered_Received,Current_Phase_Average,Active_Power,Performance_Ratio,Wind_Speed,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted
"2016-11-09 00:05:00",36570,0,0,0,,22.397413253784,35.930286407471,1.6882865428925,1.3667603731155,304.94586181641,0,2.9753863811493,1.6222640275955
"2016-11-09 00:10:00",36570,0,0,0,,22.414463043213,35.969192504883,1.5518670082092,1.2400418519974,345.189453125,0,2.5334069728851,1.4395617246628
"2016-11-09 00:15:00",36570,0,0,0,,22.404476165771,36.387023925781,1.1616469621658,0.85863316059113,345.19290161133,0,2.4056615829468,1.3652423620224
"2016-11-09 00:20:00",36570,0,0,0,,22.550596237183,35.649932861328,1.3488018512726,0.90247040987015,338.4089050293,0,2.4007050991058,1.4015907049179
"2016-11-09 00:25:00",36570,0,0,0,,22.642667770386,35.34436416626,1.1531530618668,0.8011714220047,309.88659667969,0,2.7402405738831,1.6565923690796
"2016-11-09 00:30:00",36570,0,0,0,,22.502914428711,35.903800964355,1.5859106779099,1.3060952425003,322.60699462891,0,3.103015422821,1.8818452358246
"2016-11-09 00:35:00",36570,0,0,0,,22.322498321533,36.633167266846,1.6467018127441,1.3305597305298,248.71311950684,0,3.1544201374054,1.9619498252869
"2016-11-09 00:40:00",36570,0,0,0,,22.184682846069,37.386672973633,1.4870131015778,1.1461734771729,340.41088867188,0,3.29763007164,1.9715754985809
"2016-11-09 00:45:00",36570,0,0,0,,22.127862930298,37.634910583496,0.85037124156952,0.54661446809769,345.18939208984,0,3.2602875232697,1.9373781681061
"2016-11-09 00:50:00",36570,0,0,0,,22.290510177612,37.191715240479,0.61439543962479,0.48742699623108,339.48788452148,0,2.5969166755676,1.5321100950241
"2016-11-09 00:55:00",36570,0,0,0,,23.272758483887,35.49144744873,0.34364721179008,0.48462834954262,341.77719116211,0,2.0672597885132,1.3414626121521
"2016-11-09 01:00:00",36570,0,0,0,,24.154689788818,33.374111175537,0.33773872256279,0.49786013364792,345.19592285156,0,1.8920285701752,1.2885082960129
"2016-11-09 01:05:00",36570,0,0,0,,24.208436965942,33.109638214111,0.34580492973328,0.50868153572083,345.19799804688,0,2.0397300720215,1.2976974248886
"2016-11-09 01:10:00",36570,0,0,0,,24.045707702637,33.313243865967,0.72323423624039,0.56834423542023,342.31341552734,0,2.3002738952637,1.3448852300644
"2016-11-09 01:15:00",36570,0,0,0,,23.690340042114,34.026592254639,1.332001209259,1.0722469091415,345.20010375977,0,2.7402930259705,1.7968009710312
"2016-11-09 01:20:00",36570,0,0,0,,23.333633422852,34.973133087158,2.0985357761383,1.8112262487411,336.20120239258,0,3.2008018493652,2.1024360656738
"2016-11-09 01:25:00",36570,0,0,0,,22.894571304321,36.156871795654,2.3660216331482,2.0184109210968,334.57400512695,0,3.3359308242798,2.1267826557159
"2016-11-09 01:30:00",36570,0,0,0,,22.621711730957,36.820064544678,1.9991042613983,1.6827436685562,345.19464111328,0,3.4364051818848,2.1889624595642
"2016-11-09 01:35:00",36570,0,0,0,,22.414821624756,37.483234405518,2.163916349411,1.8087384700775,345.19479370117,0,3.297682762146,2.1219048500061
"2016-11-09 01:40:00",36570,0,0,0,,22.460796356201,37.336647033691,1.446182847023,1.1448669433594,345.19216918945,0,3.2910892963409,2.0467598438263
"2016-11-09 01:45:00",36570,0,0,0,,22.499139785767,37.112350463867,1.5589165687561,1.2769343852997,338.55154418945,0,3.2900953292847,2.0185332298279
"2016-11-09 01:50:00",36570,0,0,0,,22.234828948975,37.762775421143,1.8987505435944,1.6011097431183,321.89608764648,0,3.3549671173096,1.8983074426651
"2016-11-09 01:55:00",36570,0,0,0,,22.011686325073,38.255966186523,1.8801016807556,1.567971944809,345.18731689453,0,3.1940610408783,1.9031136035919
"2016-11-09 02:00:00",36570,0,0,0,,22.617769241333,37.095973968506,0.67377310991287,0.63395899534225,334.83557128906,0,2.6490340232849,1.5207817554474
"2016-11-09 02:05:00",36570,0,0,0,,23.111682891846,35.107791900635,0.35134592652321,0.4931488931179,345.18441772461,0,2.2895674705505,1.3543725013733
"2016-11-09 02:10:00",36570,0,0,0,,23.258735656738,34.668224334717,0.36663064360619,0.50924825668335,339.99139404297,0,2.2102510929108,1.3011554479599
"2016-11-09 02:15:00",36570,0,0,0,,23.250480651855,34.703922271729,0.56116807460785,0.51692008972168,337.20581054688,0,2.3822107315063,1.3288999795914
"2016-11-09 02:20:00",36570,0,0,0,,23.201585769653,34.817153930664,0.76937234401703,0.56602954864502,345.19549560547,0,2.6528770923615,1.4733334779739
"2016-11-09 02:25:00",36570,0,0,0,,23.081024169922,34.965557098389,1.2079231739044,0.82489532232285,345.19564819336,0,2.9591042995453,1.8546373844147
"2016-11-09 02:30:00",36570,0,0,0,,22.951456069946,35.361629486084,1.1801717281342,0.83525639772415,345.19729614258,0,3.3190150260925,2.1545350551605
"2016-11-09 02:35:00",36570,0,0,0,,22.769792556763,35.961261749268,1.4181201457977,1.1332550048828,345.197265625,0,3.3213028907776,2.1167461872101
"2016-11-09 02:40:00",36570,0,0,0,,22.544353485107,36.628372192383,1.7724232673645,1.5273141860962,342.11254882812,0,3.597320318222,2.2415204048157
